increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
5+5,5.916666666666667,5,5,Rapid,206
5+5,9.5,5,5,Rapid,207
5+5,9.833333333333332,5,5,Rapid,208
5+5,14.666666666666666,5,5,Rapid,209
5+5,11.166666666666666,5,5,Rapid,210
5+5,12.083333333333332,5,5,Rapid,211
5+5,8.416666666666666,5,5,Rapid,212
5+5,15.083333333333332,5,5,Rapid,213
5+5,7.5,5,5,Rapid,214
10+3,13.2,10,3,Rapid,215
10+3,10.75,10,3,Rapid,216
10+3,12.0,10,3,Rapid,217
10+3,16.4,10,3,Rapid,218
10+3,12.4,10,3,Rapid,219
10+3,12.55,10,3,Rapid,220
5+5,10.0,5,5,Rapid,221
5+5,8.333333333333332,5,5,Rapid,222
5+5,7.416666666666666,5,5,Rapid,223
5+5,13.166666666666666,5,5,Rapid,224
5+5,16.25,5,5,Rapid,225
5+5,7.833333333333333,5,5,Rapid,226
5+5,8.916666666666666,5,5,Rapid,227
5+5,11.5,5,5,Rapid,228
5+5,9.416666666666666,5,5,Rapid,229
5+5,15.0,5,5,Rapid,230
15+15,25.5,15,15,Classic,231
15+2,17.1,15,2,Rapid,232
15+2,15.766666666666666,15,2,Rapid,233
15+2,17.433333333333334,15,2,Rapid,234
15+15,37.5,15,15,Classic,235
15+15,25.25,15,15,Classic,236
15+2,16.433333333333334,15,2,Rapid,237
15+2,16.266666666666666,15,2,Rapid,238
15+2,16.366666666666667,15,2,Rapid,239
15+2,17.8,15,2,Rapid,240
15+2,16.866666666666667,15,2,Rapid,241
15+2,16.0,15,2,Rapid,242
40+20,42.0,40,20,Classic,243
15+2,17.233333333333334,15,2,Rapid,244
15+2,16.333333333333332,15,2,Rapid,245
15+2,16.733333333333334,15,2,Rapid,246
15+2,16.9,15,2,Rapid,247
15+2,16.3,15,2,Rapid,248
15+15,23.25,15,15,Classic,249
15+15,18.75,15,15,Classic,250
15+15,23.0,15,15,Classic,251
15+15,29.75,15,15,Classic,252
15+15,27.75,15,15,Classic,253
15+15,20.5,15,15,Classic,254
15+15,33.25,15,15,Classic,255
